OMIM:618505	Stolerman neurodevelopmental syndrome		HP:0001263	PMID:37196654	PCS		71/73			P	LLM:claude-opus-4-7-agentic[2026-05-29]
OMIM:618505	Stolerman neurodevelopmental syndrome		HP:0100543	PMID:37196654	PCS		85/85			P	LLM:claude-opus-4-7-agentic[2026-05-29]
OMIM:615829	Xia-Gibbs syndrome		HP:0001249	PMID:40501103	PCS		16/16			P	LLM:claude-opus-4-7-agentic[2026-05-29]
OMIM:615829	Xia-Gibbs syndrome		HP:0001290	PMID:40501103	PCS		16/16			P	LLM:claude-opus-4-7-agentic[2026-05-29]
OMIM:615829	Xia-Gibbs syndrome		HP:0001999	PMID:40501103	PCS		16/16			P	LLM:claude-opus-4-7-agentic[2026-05-29]
OMIM:615829	Xia-Gibbs syndrome		HP:0001263	PMID:40501103	PCS		16/16			P	LLM:claude-opus-4-7-agentic[2026-05-29]
OMIM:615829	Xia-Gibbs syndrome		HP:0000750	PMID:40501103	PCS		15/16			P	LLM:claude-opus-4-7-agentic[2026-05-29]
OMIM:615829	Xia-Gibbs syndrome		HP:0000729	PMID:40501103	PCS		13/15			P	LLM:claude-opus-4-7-agentic[2026-05-29]
OMIM:256810	Mitochondrial DNA depletion syndrome 6 (hepatocerebral type)		HP:0001399	PMID:32711568	PCS		20/23			P	LLM:claude-opus-4-7-agentic[2026-05-29]
OMIM:256810	Mitochondrial DNA depletion syndrome 6 (hepatocerebral type)		HP:0001396	PMID:32711568	PCS		21/23			P	LLM:claude-opus-4-7-agentic[2026-05-29]
OMIM:256810	Mitochondrial DNA depletion syndrome 6 (hepatocerebral type)		HP:0001508	PMID:29282788	PCS		HP:0040281			P	LLM:claude-opus-4-7-agentic[2026-05-29]
OMIM:256810	Mitochondrial DNA depletion syndrome 6 (hepatocerebral type)		HP:0001263	PMID:29282788	PCS		91/100			P	LLM:claude-opus-4-7-agentic[2026-05-29]
OMIM:256810	Mitochondrial DNA depletion syndrome 6 (hepatocerebral type)		HP:0001943	PMID:29282788	PCS		HP:0040281			P	LLM:claude-opus-4-7-agentic[2026-05-29]
OMIM:256810	Mitochondrial DNA depletion syndrome 6 (hepatocerebral type)		HP:0003128	PMID:29282788	PCS		HP:0040281			P	LLM:claude-opus-4-7-agentic[2026-05-29]
OMIM:256500	Netherton syndrome		HP:0001019	PMID:11841556	PCS		22/24			P	LLM:claude-opus-4-7-agentic[2026-05-29]
OMIM:256500	Netherton syndrome		HP:0002870	PMID:11841556	PCS		23/24			P	LLM:claude-opus-4-7-agentic[2026-05-29]
OMIM:256500	Netherton syndrome		HP:0003212	PMID:11841556	PCS		HP:0040281			P	LLM:claude-opus-4-7-agentic[2026-05-29]
OMIM:256500	Netherton syndrome		HP:0008070	PMID:11841556	PCS		HP:0040281			P	LLM:claude-opus-4-7-agentic[2026-05-29]
